,delta_t,episodes,mean episode reward,reward_for_this_episode,steps
0,34,2,-34.0,-34.0,34
1,18,3,-26.0,-18.0,52
2,18,4,-23.3,-18.0,70
3,18,5,-22.0,-18.0,88
4,18,6,-21.2,-18.0,106
5,18,7,-20.7,-18.0,124
6,18,8,-20.3,-18.0,142
7,18,9,-20.0,-18.0,160
8,18,10,-19.8,-18.0,178
9,18,11,-19.6,-18.0,196
10,18,12,-19.5,-18.0,214
11,18,13,-19.3,-18.0,232
12,18,14,-19.2,-18.0,250
13,18,15,-19.1,-18.0,268
14,18,16,-19.1,-18.0,286
15,18,17,-19.0,-18.0,304
16,18,18,-18.9,-18.0,322
17,18,19,-18.9,-18.0,340
18,18,20,-18.8,-18.0,358
19,18,21,-18.8,-18.0,376
20,18,22,-18.8,-18.0,394
21,18,23,-18.7,-18.0,412
22,18,24,-18.7,-18.0,430
23,18,25,-18.7,-18.0,448
24,18,26,-18.6,-18.0,466
25,18,27,-18.6,-18.0,484
26,18,28,-18.6,-18.0,502
