,steps,episodes,mean episode reward,reward_for_this_episode,delta_t
0,5402,2,597.0,597.0,5402
1,5777,3,3111.0,5625.0,375
2,7500,4,3499.7,4277.0,1723
3,7740,5,4064.8,5760.0,240
4,8079,6,4384.0,5661.0,339
5,14079,7,2653.3,-6000.0,6000
6,14752,8,3035.3,5327.0,673
7,17261,9,3092.2,3491.0,2509
8,17277,10,3413.6,5984.0,16
9,17443,11,3655.6,5834.0,166
10,17657,12,3849.3,5786.0,214
11,17902,13,4008.1,5755.0,245
12,18378,14,4124.7,5524.0,476
13,20240,15,4125.6,4138.0,1862
14,23036,16,4064.2,3204.0,2796
15,23189,17,4175.6,5847.0,153
16,24380,18,4212.9,4809.0,1191
17,25240,19,4264.4,5140.0,860
18,27196,20,4252.8,4044.0,1956
19,28126,21,4293.6,5070.0,930
20,29397,22,4314.4,4729.0,1271
21,30945,23,4320.6,4452.0,1548
22,31507,24,4369.2,5438.0,562
23,32230,25,4407.0,5277.0,723
24,32528,26,4458.8,5702.0,298
25,32762,27,4509.1,5766.0,234
26,33035,28,4554.2,5727.0,273
27,35483,29,4518.4,3552.0,2448
28,37220,30,4509.6,4263.0,1737
29,37662,31,4544.6,5558.0,442
30,38421,32,4567.0,5241.0,759
31,38423,33,4611.8,5998.0,2
32,40715,34,4584.4,3708.0,2292
33,41768,35,4595.0,4947.0,1053
34,42204,36,4622.7,5564.0,436
35,45571,37,4567.4,2633.0,3367
36,49700,38,4494.6,1871.0,4129
37,51231,39,4493.9,4469.0,1531
38,52454,40,4501.2,4777.0,1223
39,52469,41,4538.2,5985.0,15
40,52610,42,4570.5,5859.0,141
41,54345,43,4563.2,4265.0,1735
42,60345,44,4317.5,-6000.0,6000
43,60877,45,4343.7,5468.0,532
44,66877,46,4113.8,-6000.0,6000
45,67165,47,4148.6,5712.0,288
46,68136,48,4167.3,5029.0,971
47,73455,49,3969.7,-5318.0,5319
48,73668,50,4006.8,5787.0,213
49,74143,51,4037.1,5525.0,475
50,74292,52,4072.7,5851.0,149
51,74425,53,3991.8,-132.0,133
