,delta_t,episodes,mean episode reward,reward_for_this_episode,steps
0,2948,2,3212.0,3212.0,2948
1,2948,3,3212.0,3212.0,5896
2,2948,4,3212.0,3212.0,8844
3,2948,5,3212.0,3212.0,11792
4,2948,6,3212.0,3212.0,14740
5,2948,7,3212.0,3212.0,17688
6,2948,8,3212.0,3212.0,20636
7,2948,9,3212.0,3212.0,23584
8,2948,10,3212.0,3212.0,26532
9,2948,11,3212.0,3212.0,29480
10,2948,12,3212.0,3212.0,32428
11,2948,13,3212.0,3212.0,35376
12,2948,14,3212.0,3212.0,38324
13,2948,15,3212.0,3212.0,41272
14,2948,16,3212.0,3212.0,44220
15,2948,17,3212.0,3212.0,47168
16,2948,18,3212.0,3212.0,50116
17,2948,19,3212.0,3212.0,53064
18,2948,20,3212.0,3212.0,56012
19,2948,21,3212.0,3212.0,58960
20,2948,22,3212.0,3212.0,61908
21,2948,23,3212.0,3212.0,64856
22,2948,24,3212.0,3212.0,67804
23,2948,25,3212.0,3212.0,70752
24,2948,26,3212.0,3212.0,73700
25,2948,27,3212.0,3212.0,76648
26,2948,28,3212.0,3212.0,79596
27,2948,29,3212.0,3212.0,82544
28,2948,30,3212.0,3212.0,85492
29,2948,31,3212.0,3212.0,88440
30,2948,32,3212.0,3212.0,91388
31,2948,33,3212.0,3212.0,94336
32,2948,34,3212.0,3212.0,97284
33,2948,35,3212.0,3212.0,100232
34,2948,36,3212.0,3212.0,103180
35,2948,37,3212.0,3212.0,106128
36,2948,38,3212.0,3212.0,109076
37,2948,39,3212.0,3212.0,112024
38,2948,40,3212.0,3212.0,114972
39,2948,41,3212.0,3212.0,117920
40,2948,42,3212.0,3212.0,120868
41,2948,43,3212.0,3212.0,123816
42,2948,44,3212.0,3212.0,126764
43,2948,45,3212.0,3212.0,129712
44,2948,46,3212.0,3212.0,132660
45,2948,47,3212.0,3212.0,135608
46,2948,48,3212.0,3212.0,138556
47,2948,49,3212.0,3212.0,141504
48,2948,50,3212.0,3212.0,144452
49,2948,51,3212.0,3212.0,147400
50,2948,52,3212.0,3212.0,150348
51,2948,53,3212.0,3212.0,153296
52,2948,54,3212.0,3212.0,156244
53,2948,55,3212.0,3212.0,159192
54,2948,56,3212.0,3212.0,162140
55,2948,57,3212.0,3212.0,165088
56,2948,58,3212.0,3212.0,168036
57,2948,59,3212.0,3212.0,170984
58,2948,60,3212.0,3212.0,173932
59,2948,61,3212.0,3212.0,176880
60,2948,62,3212.0,3212.0,179828
61,2948,63,3212.0,3212.0,182776
62,2948,64,3212.0,3212.0,185724
63,2948,65,3212.0,3212.0,188672
64,2948,66,3212.0,3212.0,191620
65,2948,67,3212.0,3212.0,194568
66,2948,68,3212.0,3212.0,197516
67,2948,69,3212.0,3212.0,200464
68,2948,70,3212.0,3212.0,203412
69,2948,71,3212.0,3212.0,206360
70,2948,72,3212.0,3212.0,209308
71,2948,73,3212.0,3212.0,212256
72,2948,74,3212.0,3212.0,215204
73,2948,75,3212.0,3212.0,218152
74,2948,76,3212.0,3212.0,221100
75,2948,77,3212.0,3212.0,224048
76,2948,78,3212.0,3212.0,226996
77,2948,79,3212.0,3212.0,229944
78,2948,80,3212.0,3212.0,232892
79,2948,81,3212.0,3212.0,235840
80,2948,82,3212.0,3212.0,238788
81,2948,83,3212.0,3212.0,241736
82,2948,84,3212.0,3212.0,244684
83,2948,85,3212.0,3212.0,247632
84,2948,86,3212.0,3212.0,250580
85,2948,87,3212.0,3212.0,253528
86,2948,88,3212.0,3212.0,256476
87,2948,89,3212.0,3212.0,259424
88,2948,90,3212.0,3212.0,262372
89,2948,91,3212.0,3212.0,265320
90,2948,92,3212.0,3212.0,268268
91,2948,93,3212.0,3212.0,271216
92,2948,94,3212.0,3212.0,274164
93,2948,95,3212.0,3212.0,277112
94,2948,96,3212.0,3212.0,280060
95,2948,97,3212.0,3212.0,283008
96,2948,98,3212.0,3212.0,285956
97,2948,99,3212.0,3212.0,288904
98,2948,100,3212.0,3212.0,291852
99,2948,101,3212.0,3212.0,294800
100,2948,102,3212.0,3212.0,297748
101,2948,103,3212.0,3212.0,300696
102,2948,104,3212.0,3212.0,303644
103,2948,105,3212.0,3212.0,306592
104,2948,106,3212.0,3212.0,309540
105,2948,107,3212.0,3212.0,312488
106,2948,108,3212.0,3212.0,315436
107,2948,109,3212.0,3212.0,318384
108,2948,110,3212.0,3212.0,321332
109,2948,111,3212.0,3212.0,324280
110,2948,112,3212.0,3212.0,327228
111,2948,113,3212.0,3212.0,330176
112,2948,114,3212.0,3212.0,333124
113,2948,115,3212.0,3212.0,336072
114,2948,116,3212.0,3212.0,339020
115,2948,117,3212.0,3212.0,341968
116,2948,118,3212.0,3212.0,344916
117,2948,119,3212.0,3212.0,347864
118,2948,120,3212.0,3212.0,350812
119,2948,121,3212.0,3212.0,353760
120,2948,122,3212.0,3212.0,356708
121,2948,123,3212.0,3212.0,359656
122,2948,124,3212.0,3212.0,362604
123,2948,125,3212.0,3212.0,365552
124,2948,126,3212.0,3212.0,368500
125,2948,127,3212.0,3212.0,371448
126,2948,128,3212.0,3212.0,374396
127,2948,129,3212.0,3212.0,377344
128,2948,130,3212.0,3212.0,380292
129,2948,131,3212.0,3212.0,383240
130,2948,132,3212.0,3212.0,386188
131,2948,133,3212.0,3212.0,389136
132,2948,134,3212.0,3212.0,392084
133,2948,135,3212.0,3212.0,395032
134,2948,136,3212.0,3212.0,397980
135,2948,137,3212.0,3212.0,400928
136,2948,138,3212.0,3212.0,403876
137,2948,139,3212.0,3212.0,406824
138,2948,140,3212.0,3212.0,409772
139,2948,141,3212.0,3212.0,412720
140,2948,142,3212.0,3212.0,415668
141,2948,143,3212.0,3212.0,418616
142,2948,144,3212.0,3212.0,421564
143,2948,145,3212.0,3212.0,424512
144,2948,146,3212.0,3212.0,427460
145,2948,147,3212.0,3212.0,430408
146,2948,148,3212.0,3212.0,433356
147,2948,149,3212.0,3212.0,436304
148,2948,150,3212.0,3212.0,439252
149,2948,151,3212.0,3212.0,442200
150,2948,152,3212.0,3212.0,445148
151,2948,153,3212.0,3212.0,448096
152,2948,154,3212.0,3212.0,451044
153,2948,155,3212.0,3212.0,453992
154,2948,156,3212.0,3212.0,456940
155,2948,157,3212.0,3212.0,459888
156,2948,158,3212.0,3212.0,462836
157,2948,159,3212.0,3212.0,465784
158,2948,160,3212.0,3212.0,468732
159,2948,161,3212.0,3212.0,471680
160,2948,162,3212.0,3212.0,474628
161,2948,163,3212.0,3212.0,477576
162,2948,164,3212.0,3212.0,480524
163,2948,165,3212.0,3212.0,483472
164,2948,166,3212.0,3212.0,486420
165,2948,167,3212.0,3212.0,489368
166,2948,168,3212.0,3212.0,492316
167,2948,169,3212.0,3212.0,495264
168,2948,170,3212.0,3212.0,498212
169,2948,171,3212.0,3212.0,501160
170,2948,172,3212.0,3212.0,504108
171,2948,173,3212.0,3212.0,507056
172,2948,174,3212.0,3212.0,510004
173,2948,175,3212.0,3212.0,512952
174,2948,176,3212.0,3212.0,515900
175,2948,177,3212.0,3212.0,518848
176,2948,178,3212.0,3212.0,521796
177,2948,179,3212.0,3212.0,524744
178,2948,180,3212.0,3212.0,527692
179,2948,181,3212.0,3212.0,530640
180,2948,182,3212.0,3212.0,533588
181,2948,183,3212.0,3212.0,536536
182,2948,184,3212.0,3212.0,539484
183,2948,185,3212.0,3212.0,542432
184,2948,186,3212.0,3212.0,545380
185,2948,187,3212.0,3212.0,548328
186,2948,188,3212.0,3212.0,551276
187,2948,189,3212.0,3212.0,554224
188,2948,190,3212.0,3212.0,557172
189,2948,191,3212.0,3212.0,560120
190,2948,192,3212.0,3212.0,563068
191,2948,193,3212.0,3212.0,566016
192,2948,194,3212.0,3212.0,568964
193,2948,195,3212.0,3212.0,571912
194,2948,196,3212.0,3212.0,574860
195,2948,197,3212.0,3212.0,577808
196,2948,198,3212.0,3212.0,580756
197,2948,199,3212.0,3212.0,583704
198,2948,200,3212.0,3212.0,586652
199,2948,201,3212.0,3212.0,589600
200,2948,202,3212.0,3212.0,592548
201,2948,203,3212.0,3212.0,595496
202,2948,204,3212.0,3212.0,598444
203,2948,205,3212.0,3212.0,601392
204,2948,206,3212.0,3212.0,604340
205,2948,207,3212.0,3212.0,607288
206,2948,208,3212.0,3212.0,610236
207,2948,209,3212.0,3212.0,613184
208,2948,210,3212.0,3212.0,616132
209,2948,211,3212.0,3212.0,619080
210,2948,212,3212.0,3212.0,622028
211,2948,213,3212.0,3212.0,624976
212,2948,214,3212.0,3212.0,627924
213,2948,215,3212.0,3212.0,630872
214,2948,216,3212.0,3212.0,633820
215,2948,217,3212.0,3212.0,636768
216,2948,218,3212.0,3212.0,639716
217,2948,219,3212.0,3212.0,642664
218,2948,220,3212.0,3212.0,645612
219,2948,221,3212.0,3212.0,648560
220,2948,222,3212.0,3212.0,651508
221,2948,223,3212.0,3212.0,654456
222,2948,224,3212.0,3212.0,657404
223,2948,225,3212.0,3212.0,660352
224,2948,226,3212.0,3212.0,663300
225,2948,227,3212.0,3212.0,666248
226,2948,228,3212.0,3212.0,669196
227,2948,229,3212.0,3212.0,672144
