,delta_t,episodes,mean episode reward,reward_for_this_episode,steps
0,5999,2,-6000.0,-6000.0,5999
1,4273,3,-2136.5,1727.0,10272
2,789,4,312.7,5211.0,11061
3,6000,5,-1265.5,-6000.0,17061
4,6000,6,-2212.4,-6000.0,23061
5,996,7,-1009.7,5004.0,24057
6,6000,8,-1722.6,-6000.0,30057
7,6000,9,-2257.2,-6000.0,36057
8,6000,10,-2673.1,-6000.0,42057
9,6000,11,-3005.8,-6000.0,48057
10,6000,12,-3278.0,-6000.0,54057
11,444,13,-2541.8,5556.0,54501
12,6000,14,-2807.8,-6000.0,60501
13,6000,15,-3035.9,-6000.0,66501
14,6000,16,-3233.5,-6000.0,72501
15,6000,17,-3406.4,-6000.0,78501
16,6000,18,-3558.9,-6000.0,84501
17,6000,19,-3694.6,-6000.0,90501
18,6000,20,-3815.9,-6000.0,96501
19,6000,21,-3925.1,-6000.0,102501
20,6000,22,-4023.9,-6000.0,108501
21,3100,23,-3709.2,2900.0,111601
22,6000,24,-3808.8,-6000.0,117601
23,6000,25,-3900.1,-6000.0,123601
24,977,26,-3543.2,5023.0,124578
25,1045,27,-3216.3,4955.0,125623
