,steps,episodes,mean episode reward,% time spent exploring,reward_for_this_episode,delta_t
0,1006,2,4993.0,99,4993.0,1006
1,2581,3,4709.0,99,4425.0,1575
2,2844,4,5051.7,99,5737.0,263
3,8844,5,2288.8,98,-6000.0,6000
4,9738,6,2852.2,97,5106.0,894
5,11634,7,3060.8,97,4104.0,1896
6,13267,8,3247.4,97,4367.0,1633
7,19238,9,2845.1,95,29.0,5971
8,22792,10,2800.8,95,2446.0,3554
9,23031,11,3096.8,94,5761.0,239
10,23349,12,3331.8,94,5682.0,318
11,25067,13,3411.0,94,4282.0,1718
12,31067,14,2687.1,93,-6000.0,6000
13,32207,15,2842.3,92,4860.0,1140
14,32715,16,3018.9,92,5492.0,508
15,36218,17,2986.3,92,2497.0,3503
16,37279,18,3101.2,91,4939.0,1061
17,38624,19,3187.5,91,4655.0,1345
18,38899,20,3321.1,91,5725.0,275
19,40387,21,3380.6,91,4512.0,1488
20,40700,22,3490.4,91,5687.0,313
21,45703,23,3377.1,90,997.0,5003
22,46092,24,3474.2,89,5611.0,389
23,48063,25,3497.3,89,4029.0,1971
24,50763,26,3489.4,88,3300.0,2700
25,53816,27,3468.6,88,2947.0,3053
26,56432,28,3465.4,87,3384.0,2616
27,56744,29,3544.8,87,5688.0,312
28,58261,30,3577.2,87,4483.0,1517
29,58608,31,3646.4,87,5653.0,347
30,61811,32,3619.0,86,2797.0,3203
31,63924,33,3627.3,86,3887.0,2113
32,66746,34,3613.7,85,3178.0,2822
33,69870,35,3592.0,84,2876.0,3124
34,71046,36,3627.2,84,4824.0,1176
35,71504,37,3680.4,84,5542.0,458
36,72153,38,3725.6,84,5351.0,649
37,77530,39,3643.9,83,623.0,5377
38,81205,40,3610.1,82,2325.0,3675
39,83645,41,3608.8,81,3560.0,2440
40,85912,42,3611.9,81,3733.0,2267
41,87103,43,3640.4,81,4809.0,1191
42,89082,44,3649.2,80,4021.0,1979
43,90925,45,3660.8,80,4157.0,1843
44,92379,46,3680.4,79,4546.0,1454
45,93779,47,3700.4,79,4600.0,1400
46,99779,48,3494.0,78,-6000.0,6000
47,101275,49,3515.1,77,4504.0,1496
48,107275,50,3320.9,76,-6000.0,6000
49,109365,51,3332.7,76,3910.0,2090
50,110192,52,3368.8,76,5173.0,827
51,111069,53,3402.5,75,5123.0,877
52,111908,54,3435.7,75,5161.0,839
53,114049,55,3443.5,75,3859.0,2141
54,120049,56,3271.8,73,-6000.0,6000
55,122305,57,3280.2,73,3744.0,2256
56,123617,58,3304.9,73,4688.0,1312
57,124592,59,3334.6,72,5025.0,975
58,128162,60,3319.3,72,2430.0,3570
59,134126,61,3264.6,70,36.0,5964
60,135509,62,3286.7,70,4617.0,1383
61,139073,63,3273.0,69,2436.0,3564
62,142649,64,3259.5,68,2424.0,3576
63,146304,65,3245.2,68,2345.0,3655
64,150553,66,3222.2,67,1751.0,4249
65,156553,67,3082.5,65,-6000.0,6000
66,162553,68,2947.0,64,-6000.0,6000
67,166767,69,2929.9,63,1786.0,4214
68,171302,70,2908.7,62,1465.0,4535
69,177302,71,2781.4,61,-6000.0,6000
70,180638,72,2779.7,60,2664.0,3336
71,186638,73,2657.8,59,-6000.0,6000
72,192638,74,2539.2,58,-6000.0,6000
73,193315,75,2576.8,57,5323.0,677
74,199315,76,2462.5,56,-6000.0,6000
75,205315,77,2351.1,55,-6000.0,6000
76,211315,78,2242.6,53,-6000.0,6000
77,217315,79,2137.0,52,-6000.0,6000
78,223315,80,2034.0,51,-6000.0,6000
79,229315,81,1933.6,50,-6000.0,6000
80,235315,82,1835.6,48,-6000.0,6000
