,steps,episodes,mean episode reward,reward_for_this_episode,delta_t
0,188,2,5811.0,5811.0,188
1,444,3,5777.5,5744.0,256
2,2439,4,5186.7,4005.0,1995
3,4772,5,4806.8,3667.0,2333
4,6814,6,4637.0,3958.0,2042
5,7272,7,4787.8,5542.0,458
6,7794,8,4886.4,5478.0,522
7,8945,9,4881.8,4849.0,1151
8,9134,10,4985.0,5811.0,189
9,9290,11,5070.9,5844.0,156
10,9447,12,5141.1,5843.0,157
11,10522,13,5123.1,4925.0,1075
12,11567,14,5110.2,4955.0,1045
13,11968,15,5145.1,5599.0,401
14,12460,16,5169.3,5508.0,492
15,13228,17,5173.2,5232.0,768
16,15674,18,5077.9,3554.0,2446
17,16070,19,5107.2,5604.0,396
18,17510,20,5078.4,4560.0,1440
19,17758,21,5112.0,5752.0,248
20,17955,22,5145.0,5803.0,197
21,18379,23,5164.5,5576.0,424
22,19486,24,5152.7,4893.0,1107
23,19870,25,5172.0,5616.0,384
24,20273,26,5189.0,5597.0,403
25,22222,27,5145.3,4051.0,1949
26,23081,28,5145.1,5141.0,859
27,23901,29,5146.4,5180.0,820
28,24149,30,5167.2,5752.0,248
29,24677,31,5177.4,5472.0,528
30,24896,32,5196.9,5781.0,219
31,25566,33,5201.0,5330.0,670
32,26441,34,5198.7,5125.0,875
33,26672,35,5215.5,5769.0,231
34,28158,36,5195.5,4514.0,1486
35,28414,37,5210.7,5744.0,256
36,29062,38,5214.5,5352.0,648
37,29824,39,5215.1,5238.0,762
38,30671,40,5213.5,5153.0,847
39,32105,41,5197.4,4566.0,1434
40,33952,42,5171.9,4153.0,1847
41,34824,43,5170.8,5128.0,872
42,36824,44,5143.6,4000.0,2000
43,38003,45,5136.3,4821.0,1179
44,39338,46,5125.8,4665.0,1335
45,40267,47,5124.6,5071.0,929
46,41387,48,5119.4,4880.0,1120
47,42761,49,5109.1,4626.0,1374
48,42926,50,5123.9,5835.0,165
49,43790,51,5124.2,5136.0,864
50,44060,52,5136.1,5730.0,270
51,45870,53,5117.9,4190.0,1810
52,48105,54,5092.3,3765.0,2235
53,49714,55,5079.4,4391.0,1609
54,49931,56,5092.1,5783.0,217
55,50836,57,5092.2,5095.0,905
56,51094,58,5103.6,5742.0,258
57,51769,59,5107.4,5325.0,675
58,53129,60,5099.5,4640.0,1360
59,53892,61,5101.8,5237.0,763
60,54362,62,5108.8,5530.0,470
61,55663,63,5102.2,4699.0,1301
62,56102,64,5109.5,5561.0,439
63,57723,65,5098.1,4379.0,1621
64,61464,66,5054.4,2259.0,3741
65,62450,67,5053.8,5014.0,986
66,64360,68,5039.4,4090.0,1910
67,66002,69,5029.4,4358.0,1642
68,66346,70,5038.4,5656.0,344
69,66561,71,5049.1,5785.0,215
70,66982,72,5056.6,5579.0,421
71,69233,73,5038.4,3749.0,2251
72,70032,74,5040.6,5201.0,799
73,70574,75,5046.3,5458.0,542
74,72134,76,5038.2,4440.0,1560
75,74383,77,5021.3,3751.0,2249
