ep,% time spent exploring,delta_t,episodes,mean episode reward,reward for this episode,steps
0,99,397,2,5602,5602,397
1,96,3324,3,4139,2676,3721
2,95,495,4,4594.3,5505,4216
3,94,1256,5,4631.8,4744,5472
4,93,1416,6,4622.2,4584,6888
5,92,326,7,4797.5,5674,7214
6,92,340,8,4920.7,5660,7554
7,90,1839,9,4825.8,4161,9393
8,89,1213,10,4821.4,4787,10606
9,88,755,11,4863.8,5245,11361
10,84,4433,12,4564.1,1567,15794
11,83,744,13,4621.8,5256,16538
12,83,293,14,4705.2,5707,16831
13,81,2160,15,4643.4,3840,18991
14,78,3167,16,4522.7,2833,22158
15,74,3728,17,4382.1,2272,25886
16,72,2197,18,4348,3803,28083
17,71,935,19,4387.8,5065,29018
18,71,509,20,4445.9,5491,29527
19,70,926,21,4477.3,5074,30453
20,69,409,22,4530.3,5591,30862
21,68,1343,23,4536.1,4657,32205
22,67,1119,24,4551.1,4881,33324
23,66,759,25,4579.8,5241,34083
24,65,1011,26,4596.2,4989,35094
25,65,335,27,4637.3,5665,35429
26,64,1001,28,4650.7,4999,36430
27,63,1190,29,4656.4,4810,37620
28,60,2695,30,4609.8,3305,40315
29,59,599,31,4636.2,5401,40914
30,58,1768,32,4623.1,4232,42682
31,56,1646,33,4614.7,4354,44328
32,55,1323,34,4616.6,4677,45651
33,54,1201,35,4622,4799,46852
34,53,1031,36,4631.9,4969,47883
35,52,607,37,4653,5393,48490
36,50,1821,38,4640.2,4179,50311
37,49,1564,39,4634.8,4436,51875
38,48,599,40,4654.5,5401,52474
39,48,209,41,4682.9,5791,52683
40,46,1792,42,4671.3,4208,54475
41,45,719,43,4685.8,5281,55194
42,44,995,44,4693.3,5005,56189
43,42,2979,45,4655.2,3021,59168
44,41,676,46,4670.1,5324,59844
45,39,1387,47,4668.9,4613,61231
46,38,1764,48,4659.7,4236,62995
47,32,5601,49,4570.9,399,68596
48,31,1711,50,4565.1,4289,70307
49,30,361,51,4586.6,5639,70668
50,27,3527,52,4545.2,2473,74195
51,22,4450,53,4487.6,1550,78645
52,22,639,54,4504.1,5361,79284
53,22,160,55,4528.8,5840,79444
54,18,3706,56,4488.2,2294,83150
55,17,1260,57,4492.7,4740,84410
56,16,1181,58,4498.4,4819,85591
57,15,774,59,4510.9,5226,86365
58,14,771,60,4523.1,5229,87136
59,13,1004,61,4531,4996,88140
60,12,1146,62,4536.3,4854,89286
61,9,3270,63,4507.1,2730,92556
62,7,2089,64,4497.7,3911,94645
63,4,2564,65,4481.1,3436,97209
64,4,319,66,4499.6,5681,97528
65,2,4844,67,4448.9,1156,102372
66,2,1033,68,4456.6,4967,103405
67,2,1449,69,4458,4551,104854
68,2,239,70,4476.9,5761,105093
69,2,315,71,4494.2,5685,105408
70,2,3602,72,4464.6,2398,109010
71,2,1026,73,4471.7,4974,110036
72,2,2676,74,4456,3324,112712
73,2,4431,75,4417,1569,117143
74,2,5080,76,4370.3,920,122223
75,2,2713,77,4356.1,3287,124936
76,2,968,78,4364.9,5032,125904
77,2,1593,79,4365.4,4407,127497
